episode,return,cost,emissions,safety_violations
482,-197142.17748521402,209998.84377119364,27245.072046622405,75
483,-137579.57849481422,97281.88539211858,16702.273041342,80
484,-189979.73880439176,231596.07810910823,29192.060403662872,81
485,-206909.63584772652,196880.97910256122,27726.511865144646,64
486,-189975.65874929487,179426.4822670426,25691.983025486243,70
487,-202472.85730430426,185793.1293765143,26332.24716148329,64
488,-96146.81480770551,39924.412918763985,12286.71347962278,87
489,-125695.80985805613,88672.39070424708,16302.510099261064,83
490,-201244.79329467734,209336.01785085382,28739.11512584651,72
491,-108693.44812637607,46030.971970282546,13182.688887784108,81
492,-162747.4288465679,133348.1674516496,21408.130320155604,82
493,-114978.12567859316,68780.73557981165,15016.084788229065,79
494,-110516.98351806948,73286.37854865646,14771.243837636026,85
495,-186550.68819741154,191988.31304451413,26980.541086092922,79
496,-156462.24565018242,107118.55008431042,19660.669501265238,83
497,-140728.65288063663,79118.50795071997,16720.60676840324,77
498,-214015.87035446806,222212.24767451544,28358.88704117051,64
499,-117064.98599746148,75613.3072300286,15596.545687283511,79
